Forêt territoriale;Essences;% de la surface boisée en ha;commune
COSCIONE;['Hêtre'];97.0;Zicavo
['ROSPA-SORBA'];['Pin laricio de Corse'];93.0;Ghisoni
['TAVIGNANO'];['Pin laricio de Corse'];92.0;Corte
['PINETO'];['Arbousier'];9.0;Aiti, Gavignano, Saliceto
['OSPEDALE'];['Pin laricio de Corse'];9.0;Porto-Vecchio, San-Gavino-di-Carbini, Carbini, Zonza, Conca
['PINETO'];['Pin maritime'];89.0;Aiti, Gavignano, Saliceto
['FANGO'];['Chêne vert'];86.0;Galéria, Manso
['MARMANO'];['Pin maritime'];8.0;Ghisoni, Palneca
['TARTAGINE'];['Bouleau verruqueux'];8.0;Olmi-Cappella, Pioggiola, Vallica
['OSPEDALE'];['Chêne vert'];8.0;Porto-Vecchio, San-Gavino-di-Carbini, Carbini, Zonza, Conca
['AÏTONE'];['Aulne vert'];8.0;Évisa, Cristinacce
['ZONZA'];['Pin maritime'];72.0; San-Gavino-di-Carbini, Zonza
['CHIAVARI'];['Divers'];72.0;Coti-Chiavari, Pietrosella
['FIUMORBU'];['Aulne vert'];7.0;Isolaccio-di-Fiumorbo, San-Gavino-di-Fiumorbo, Serra-di-Fiumorbo
['AÏTONE'];['Hêtre'];7.0;Évisa, Cristinacce
['PUNTENIELLO'];['Sapin pectiné'];7.0;Ciamannacce, Tasso
['AÏTONE'];['Pin laricio de Corse'];64.0;Évisa, Cristinacce
['TARTAGINE'];['Pin laricio de Corse'];63.0;Olmi-Cappella, Pioggiola, Vallica
['STELLA'];['Chêne vert'];63.0;Alando, Alzi, Bustanico, Cambia, Carticasi, Erbajolo, Focicchia, Giuncaggio, Lano, Noceta, Piedicorte-di-Gaggio, Pietraserena, Poggio-Marinaccio, Prato-di-Giovellina, Rusio, San-Lorenzo, Santa-Lucia-di-Mercurio, Sermano, Tralonca
['VALDO-NIELLO'];['Pin laricio de Corse'];61.0;Asco, Castifao, Moltifao, Morosaglia, Omessa, Piedigriggio, Popolasca, Prato-di-Giovellina, Soveria
['OSPEDALE'];['Pin maritime'];61.0;Porto-Vecchio, San-Gavino-di-Carbini, Carbini, Zonza, Conca
['FIUMORBU'];['Divers'];6.0;Isolaccio-di-Fiumorbo, San-Gavino-di-Fiumorbo, Serra-di-Fiumorbo
['ROSPA-SORBA'];['Sapin pectiné'];6.0;Calacuccia, Casamaccioli, Corscia, Lozzi
['MARMANO'];['Pin laricio de Corse'];58.0;Ghisoni, Palneca
['SANT-ANTONE'];['Hêtre'];54.0;Cozzano, Palneca
['PUNTENIELLO'];['Hêtre'];53.0;Ciamannacce, Tasso
