Commune;Surface parcourue (m2)
Afa;1
Aghione;
Aghione;20000
Aghione;1000
Ajaccio;100000
Ajaccio;2000
Ajaccio;20
Ajaccio;10
Alando;9200
Alata;2500
Albertacce;200
Albertacce;10
Aléria;33000
Aléria;400
Ambiegna;100
Ampriani;10000
Antisanti;1000
Appietto;120000
Appietto;1800
Appietto;1000
Appietto;150
Appietto;100
Appietto;80
Appietto;10
Appietto;7
Appietto;1
Arbori;500
Aregno;200
Azzana;10
Balogna;100
Balogna;1
Bastelica;60000
Bastelica;56038
Bastelica;2000
Bastelica;700
Bastelica;100
Bastelica;60
Bastelica;6
Bastelicaccia;400
Bocognano;400
Bocognano;100
Bocognano;6
Bocognano;1
Bonifacio;100
Bonifacio;100
Bonifacio;50
Bonifacio;30
Brando;1500
Bustanico;10
Cagnano;2000
Cagnano;500
Cagnano;100
Cagnano;10
Calcatoggio;80
Calcatoggio;35
Calcatoggio;5
Calenzana;500
Calenzana;400
Calvi;2500
Calvi;600
Cambia;50000
Canari;4000
Carbuccia;400
Carcheto-Brustico;250000
Cargèse;30
Casaglione;125
Casamaccioli;15000
Castellare-di-Casinca;300
Castellare-di-Mercurio;150
Castello-di-Rostino;322600
Castello-di-Rostino;50
Castirla;2000
Cateri;10000
Cauro;300
Coggia;13740
Coggia;520
Coggia;516
Cognocoli-Monticchi;20
Corscia;300
Corte;30000
Corte;1000
Corte;200
Corte;115
Corte;72
Corte;10
Coti-Chiavari;100
Cozzano;100
Cuttoli-Corticchiato;1118
Cuttoli-Corticchiato;1000
Favalello;21290
Favalello;12250
Favalello;10100
Favalello;4900
Favalello;2000
Feliceto;194400
Feliceto;40000
Feliceto;100
Ficaja;500
Figari;90
Figari;50
Figari;50
Figari;50
Figari;30
Figari;5
Figari;5
Fozzano;200
Furiani;10000
Furiani;50
Ghisonaccia;25000
Ghisonaccia;5000
Ghisonaccia;2000
Ghisoni;150
Grosseto-Prugna;10
Lavatoggio;1550
Lecci;3000
Lecci;600
Lecci;30
Lecci;1
Lento;3000
Levie;200
Levie;50
Linguizzetta;21660
Linguizzetta;15000
Linguizzetta;120
Loreto-di-Casinca;50000
Loreto-di-Casinca;2500
Marignana;50
Marignana;10
Matra;500
Mausoléo;5
Montegrosso;1848200
Montegrosso;5000
Murato;2000
Murato;1000
Muro;14100
Muro;10
Ocana;1
Oletta;40000
Oletta;3500
Oletta;600
Olivese;30000
Olivese;1500
Olmeta-di-Tuda;3439400
Olmeta-di-Tuda;20000
Olmeto;1035
Olmeto;50
Olmeto;10
Olmi-Cappella;15000
Olmi-Cappella;1000
Olmi-Cappella;20
Olmo;200000
Ortiporio;800
Osani;1
Ota;100
Ota;100
Ota;30
Palneca;150
Penta-di-Casinca;200
Peri;10000
Peri;1300
Peri;25
Peri;1
Petreto-Bicchisano;40
Piana;21346
Piana;215
Piana;30
Piano;300
Piedicorte-di-Gaggio;2000
Pietracorbara;741300
Pietracorbara;10000
Pietrosella;1
Pietroso;100
Pietroso;20
Piève;50000
Pigna;3000
Poggio-di-Venaco;15000
Poggio-di-Venaco;800
Poggio-di-Venaco;30
Poggio-di-Venaco;25
Poggio-di-Venaco;2
Poggio-d'Oletta;15000
Poggio-Mezzana;196800
Porto-Vecchio;500
Porto-Vecchio;300
Porto-Vecchio;100
Porto-Vecchio;100
Porto-Vecchio;50
Porto-Vecchio;50
Porto-Vecchio;20
Porto-Vecchio;5
Porto-Vecchio;2
Porto-Vecchio;1
Porto-Vecchio;1
Porto-Vecchio;1
Porto-Vecchio;1
Porto-Vecchio;1
Quenza;31392900
Quenza;50000
Quenza;5000
Quercitello;30
Rapale;30000
Rapale;1200
Rezza;40
Rutali;40000
Rutali;20000
Rutali;300
Rutali;10
Sainte-Lucie-de-Tallano;400
Saliceto;1
San-Gavino-di-Carbini;3000
San-Gavino-di-Carbini;30
San-Gavino-di-Carbini;1
San-Giuliano;500
Santa-Lucia-di-Mercurio;1200
Santa-Lucia-di-Moriani;3000
Santa-Maria-Siché;100
Sant'Andréa-di-Bozio;41300
Sant'Antonino;30
Santo-Pietro-di-Tenda;5000
Santo-Pietro-di-Tenda;1000
Santo-Pietro-di-Tenda;1000
Santo-Pietro-di-Venaco;110000
Sarrola-Carcopino;1
Sarrola-Carcopino;1
Sartène;100
Sartène;30
Sartène;20
Sartène;1
Scolca;1000
Sermano;121520
Serra-di-Ferro;50
Serra-di-Ferro;1
Serriera;300
Serriera;80
Sisco;10000
Sollacaro;35000
Sorbo-Ocagnano;12800
Sorbo-Ocagnano;7000
Sorbo-Ocagnano;3000
Sorbo-Ocagnano;100
Sotta;400
Sotta;80
Sotta;1
Soveria;50
Speloncato;1000
Taglio-Isolaccio;1000
Tasso;4000
Tasso;500
Tasso;1
Tavaco;70000
Tavaco;1
Tralonca;15000
Tralonca;5000
Tralonca;1500
Tralonca;1000
Ucciani;10000
Vallecalle;3000
Vallica;30
Venaco;34000
Ventiseri;5
Vero;1
Vero;1
Vero;1
Vescovato;20000
Vico;17205
Vico;8000
Vico;475
Vico;80
Vignale;400
Ville-di-Paraso;2000
Ville-di-Paraso;500
Vivario;8000
Vivario;100
Vivario;100
Vivario;10
Volpajola;10000
Volpajola;100
Zalana;40000
Zalana;10000
Zicavo;1
Zilia;3000
Zilia;1000
Zonza;100
Zonza;60
Zonza;5
Zonza;1
Zoza;100
